"rules","support","confidence","lift"
"{Unemployment_rating=LOW,QpsOffence=DRUG,Suburb=FORTITUDE VALLEY} => {Solved=True}",0.00236384811411044,0.972139893301719,1.93282409910485
"{Unemployment_rating=VERY LOW,Solved=False,Suburb=BRISBANE CITY} => {QpsOffence=THEFT}",0.005054887400113,0.651374442793462,1.93074953289535
"{QpsOffence=GOOD_ORDER,Suburb=WYNNUM WEST} => {Solved=True}",0.00115742075343335,0.970979443772672,1.93051687477326
"{QpsOffence=GOOD_ORDER,Suburb=ROCKLEA} => {Solved=True}",0.00110697277538831,0.970922882427307,1.9304044186009
"{QpsOffence=GOOD_ORDER,Suburb=KEDRON} => {Solved=True}",0.00103202149372139,0.970189701897019,1.9289466973329
"{QpsOffence=DRUG,Suburb=BOWEN HILLS} => {Solved=True}",0.00336992493340867,0.96972210700954,1.92801701769177
"{QpsOffence=DRUG,Suburb=INALA} => {Solved=True}",0.00404016235600706,0.969225449515906,1.9270295553118
"{Unemployment_rating=MEDIUM,QpsOffence=DRUG,Suburb=INALA} => {Solved=True}",0.00214331838151355,0.968729641693811,1.9260437822624
"{QpsOffence=DRUG,Suburb=NUNDAH} => {Solved=True}",0.00114588978702305,0.968331303288672,1.9252517994682
"{Unemployment_rating=VERY LOW,QpsOffence=HANDLING_STOLEN_GOODS} => {Solved=True}",0.00492804676959976,0.968280940243557,1.92515166685562
"{Unemployment_rating=MEDIUM,QpsOffence=GOOD_ORDER,Suburb=FORTITUDE VALLEY} => {Solved=True}",0.00118768954026037,0.968272620446534,1.92513512530199
"{QpsOffence=DRUG,Suburb=ACACIA RIDGE} => {Solved=True}",0.00112426922500375,0.967741935483871,1.92408000896335
"{QpsOffence=DRUG,Suburb=ZILLMERE} => {Solved=True}",0.00128714412554916,0.967497291440953,1.92359360376065
"{QpsOffence=DRUG,Suburb=WYNNUM} => {Solved=True}",0.00162730763465286,0.967437874892888,1.92347547082857
"{QpsOffence=GOOD_ORDER,Suburb=BOONDALL} => {Solved=True}",0.00101616641490723,0.967078189300412,1.92276033817531
"{QpsOffence=GOOD_ORDER,Suburb=WACOL} => {Solved=True}",0.0018204513220253,0.966335118592196,1.92128295309722
"{Unemployment_rating=MEDIUM,QpsOffence=DRUG,Suburb=BOWEN HILLS} => {Solved=True}",0.00179162390599956,0.965811965811966,1.92024281236427
"{Solved=False,Suburb=SOUTH BRISBANE} => {QpsOffence=THEFT}",0.0067225534172019,0.647148605522409,1.91822366021575
"{QpsOffence=DRUG,Suburb=WEST END} => {Solved=True}",0.00145578450929972,0.963740458015267,1.91612420739957
"{Unemployment_rating=MEDIUM,QpsOffence=GOOD_ORDER} => {Solved=True}",0.0370763811215018,0.963119664519994,1.91488993583382
"{QpsOffence=DRUG,Suburb=ANNERLEY} => {Solved=True}",0.00104066971852911,0.962666666666667,1.91398927824967
"{QpsOffence=DRUG,Suburb=SOUTH BRISBANE} => {Solved=True}",0.00284382459093897,0.962439024390244,1.9135366762313
"{QpsOffence=DRUG,Suburb=FORTITUDE VALLEY} => {Solved=True}",0.0131813359777683,0.962226430976431,1.9131139946025
"{Unemployment_rating=VERY LOW,QpsOffence=DRUG} => {Solved=True}",0.0228327548631851,0.961517450682853,1.91170438863255
"{QpsOffence=GOOD_ORDER,Suburb=WYNNUM} => {Solved=True}",0.00118048268625394,0.961267605633803,1.9112076427062
"{QpsOffence=DRUG,Suburb=ASPLEY} => {Solved=True}",0.00117615857385007,0.96113074204947,1.91093552833674
"{QpsOffence=DRUG,Suburb=UPPER MOUNT GRAVATT} => {Solved=True}",0.00110120729218316,0.961006289308176,1.91068808940411
"{Unemployment_rating=LOW,QpsOffence=HANDLING_STOLEN_GOODS} => {Solved=True}",0.00498570160165123,0.95737614171049,1.9034705718344
"{Unemployment_rating=MEDIUM,QpsOffence=DRUG,Suburb=SOUTH BRISBANE} => {Solved=True}",0.00128570275474788,0.957081545064378,1.90288485006633
"{Unemployment_rating=LOW,QpsOffence=DRUG} => {Solved=True}",0.0232464282831544,0.956980952946063,1.90268485120629
"{Unemployment_rating=HIGH,QpsOffence=DRUG,Suburb=FORTITUDE VALLEY} => {Solved=True}",0.00145578450929972,0.954631379962193,1.89801339258483
"{Solved=False,Suburb=BRISBANE CITY} => {QpsOffence=THEFT}",0.019641559909136,0.639945524560909,1.89687289130597
"{QpsOffence=DRUG,Suburb=SPRING HILL} => {Solved=True}",0.00219953184276374,0.95315427857589,1.89507659596128
"{Solved=False,Suburb=FORTITUDE VALLEY} => {QpsOffence=THEFT}",0.0128815308511006,0.636901368301026,1.88784965844527
"{QpsOffence=DRUG,Suburb=NEW FARM} => {Solved=True}",0.00144857765529329,0.949008498583569,1.88683388980967
"{Unemployment_rating=MEDIUM,QpsOffence=DRUG,Suburb=FORTITUDE VALLEY} => {Solved=True}",0.00566458724905734,0.948587979724837,1.88599780748254
"{QpsOffence=DRUG} => {Solved=True}",0.107021781995549,0.947477222264758,1.883789381718
"{QpsOffence=DRUG,Suburb=CHERMSIDE} => {Solved=True}",0.00115453801183077,0.9456906729634,1.8802373357957
"{Unemployment_rating=MEDIUM,Suburb=BANYO} => {QpsOffence=THEFT}",0.00187234067087163,0.632424537487829,1.87457981174333
"{QpsOffence=HANDLING_STOLEN_GOODS} => {Solved=True}",0.0182261337822723,0.941969606674613,1.87283905222881
"{Unemployment_rating=HIGH,QpsOffence=DRUG} => {Solved=True}",0.0119460812010655,0.940002268345242,1.86892755866672
"{QpsOffence=HANDLING_STOLEN_GOODS,Suburb=BRISBANE CITY} => {Solved=True}",0.00246474407020052,0.93956043956044,1.86804910760343
"{Unemployment_rating=MEDIUM,QpsOffence=DRUG} => {Solved=True}",0.0489965176481441,0.938488722012092,1.86591830161639
"{QpsOffence=HANDLING_STOLEN_GOODS,Suburb=FORTITUDE VALLEY} => {Solved=True}",0.00152785304936407,0.935569285083848,1.86011383037763
"{Unemployment_rating=VERY LOW,QpsOffence=DRUG,Suburb=BRISBANE CITY} => {Solved=True}",0.00147884644212031,0.933575978161965,1.85615070564417
"{Unemployment_rating=LOW,QpsOffence=DRUG,Suburb=BRISBANE CITY} => {Solved=True}",0.00231051739446283,0.930354033662217,1.84974478400881
"{Unemployment_rating=HIGH,QpsOffence=DRUG,Suburb=BRISBANE CITY} => {Solved=True}",0.00147740507131903,0.925925925925926,1.84094074931678
"{Unemployment_rating=MEDIUM,QpsOffence=HANDLING_STOLEN_GOODS} => {Solved=True}",0.00677876687845208,0.920172177656036,1.82950105489332
"{QpsOffence=GOOD_ORDER,Solved=True,Suburb=KANGAROO POINT} => {Unemployment_rating=VERY LOW}",0.00189828534529479,0.443285089195557,1.822094855749
"{Solved=True,Suburb=BANYO} => {QpsOffence=THEFT}",0.0024344752833735,0.61173487866715,1.81325325902739
"{QpsOffence=GOOD_ORDER,Suburb=KANGAROO POINT} => {Unemployment_rating=VERY LOW}",0.00190116808689736,0.440547762191049,1.81084324910807
