Index,Year,Suburb,OffenceType,CPI-Annual-Change
60563,2011,SAINT LUCIA,DRUG,HIGH
60564,2012,SAINT LUCIA,ASSAULT,VERY LOW
60565,2012,SAINT LUCIA,ASSAULT,VERY LOW
60566,2012,SAINT LUCIA,THEFT,VERY LOW
60567,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60568,2009,SAINT LUCIA,THEFT,VERY HIGH
60569,2009,SAINT LUCIA,THEFT,VERY HIGH
60570,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
60571,2010,SAINT LUCIA,GOOD_ORDER,MEDIUM
60572,2010,SAINT LUCIA,PROPERTY_DAMAGE,MEDIUM
60573,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
60574,2010,SAINT LUCIA,GOOD_ORDER,MEDIUM
60575,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
60576,2010,SAINT LUCIA,THEFT,MEDIUM
60577,2011,SAINT LUCIA,THEFT,HIGH
60578,2013,SAINT LUCIA,ASSAULT,VERY LOW
60579,2013,SAINT LUCIA,THEFT,VERY LOW
60580,2013,SAINT LUCIA,THEFT,VERY LOW
60581,2013,SAINT LUCIA,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
60582,2013,SAINT LUCIA,THEFT,VERY LOW
60583,2015,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60584,2007,SAINT LUCIA,THEFT,HIGH
60585,2008,SAINT LUCIA,THEFT,VERY HIGH
60586,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60587,2008,SAINT LUCIA,THEFT,VERY HIGH
60588,2008,SAINT LUCIA,THEFT,VERY HIGH
60589,2009,SAINT LUCIA,THEFT,VERY HIGH
60590,2009,SAINT LUCIA,GOOD_ORDER,VERY HIGH
60591,2011,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60592,2012,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60593,2013,SAINT LUCIA,GOOD_ORDER,VERY LOW
60594,2013,SAINT LUCIA,PROPERTY_DAMAGE,VERY LOW
60595,2014,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
60596,2007,SAINT LUCIA,DRUG,HIGH
60597,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60598,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60599,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60600,2010,SAINT LUCIA,THEFT,MEDIUM
60601,2010,SAINT LUCIA,THEFT,MEDIUM
60602,2010,SAINT LUCIA,THEFT,MEDIUM
60603,2013,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60604,2013,SAINT LUCIA,THEFT,VERY LOW
60605,2015,SAINT LUCIA,THEFT,VERY LOW
60606,2015,SAINT LUCIA,THEFT,VERY LOW
60607,2015,SAINT LUCIA,ASSAULT,VERY LOW
60608,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60609,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60610,2008,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60611,2008,SAINT LUCIA,THEFT,VERY HIGH
60612,2010,SAINT LUCIA,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
60613,2012,SAINT LUCIA,PROPERTY_DAMAGE,VERY LOW
60614,2014,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
60615,2014,SAINT LUCIA,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
60616,2015,SAINT LUCIA,DRUG,VERY LOW
60617,2007,SAINT LUCIA,GOOD_ORDER,HIGH
60618,2008,SAINT LUCIA,THEFT,VERY HIGH
60619,2008,SAINT LUCIA,THEFT,VERY HIGH
60620,2008,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60621,2008,SAINT LUCIA,UNLAWFUL_MOTOR_VEHICLE,VERY HIGH
60622,2008,SAINT LUCIA,DRUG,VERY HIGH
60623,2008,SAINT LUCIA,DRUG,VERY HIGH
60624,2008,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60625,2008,SAINT LUCIA,HANDLING_STOLEN_GOODS,VERY HIGH
60626,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60627,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60628,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60629,2010,SAINT LUCIA,ASSAULT,MEDIUM
60630,2011,SAINT LUCIA,THEFT,HIGH
60631,2011,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60632,2011,SAINT LUCIA,THEFT,HIGH
60633,2012,SAINT LUCIA,GOOD_ORDER,VERY LOW
