Index,Year,Suburb,OffenceType,CPI-Annual-Change
30508,2012,MANLY WEST,THEFT,VERY LOW
30509,2014,MANLY WEST,THEFT,MEDIUM
30510,2014,MANLY WEST,UNLAWFUL_ENTRY,MEDIUM
30511,2014,MANLY WEST,THEFT,MEDIUM
30512,2014,MANLY WEST,THEFT,MEDIUM
30513,2015,MANLY WEST,UNLAWFUL_ENTRY,VERY LOW
30514,2017,MANLY WEST,UNLAWFUL_ENTRY,VERY LOW
30515,2007,MANLY WEST,UNLAWFUL_MOTOR_VEHICLE,HIGH
30516,2008,MANLY WEST,DRUG,VERY HIGH
30517,2008,MANLY WEST,UNLAWFUL_ENTRY,VERY HIGH
30518,2010,MANLY WEST,UNLAWFUL_ENTRY,MEDIUM
30519,2014,MANLY WEST,PROPERTY_DAMAGE,MEDIUM
30520,2014,MANLY WEST,THEFT,MEDIUM
30521,2007,CARINDALE,THEFT,HIGH
30522,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30523,2016,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30524,2007,CARINDALE,THEFT,HIGH
30525,2007,CARINDALE,PROPERTY_DAMAGE,HIGH
30526,2007,CARINDALE,PROPERTY_DAMAGE,HIGH
30527,2007,CARINDALE,ROBBERY,HIGH
30528,2007,CARINDALE,FRAUD,HIGH
30529,2007,CARINDALE,FRAUD,HIGH
30530,2007,CARINDALE,GOOD_ORDER,HIGH
30531,2007,CARINDALE,THEFT,HIGH
30532,2007,CARINDALE,GOOD_ORDER,HIGH
30533,2008,CARINA HEIGHTS,PROPERTY_DAMAGE,VERY HIGH
30534,2008,CARINDALE,GOOD_ORDER,VERY HIGH
30535,2008,CARINDALE,UNLAWFUL_ENTRY,VERY HIGH
30536,2008,CARINDALE,GOOD_ORDER,VERY HIGH
30537,2008,CARINDALE,GOOD_ORDER,VERY HIGH
30538,2008,CARINDALE,GOOD_ORDER,VERY HIGH
30539,2008,CARINDALE,GOOD_ORDER,VERY HIGH
30540,2008,CARINDALE,FRAUD,VERY HIGH
30541,2008,CARINDALE,THEFT,VERY HIGH
30542,2008,CARINDALE,PROPERTY_DAMAGE,VERY HIGH
30543,2008,CARINDALE,GOOD_ORDER,VERY HIGH
30544,2009,CARINDALE,GOOD_ORDER,VERY HIGH
30545,2009,CARINDALE,GOOD_ORDER,VERY HIGH
30546,2009,CARINDALE,GOOD_ORDER,VERY HIGH
30547,2010,CARINA HEIGHTS,THEFT,MEDIUM
30548,2010,CARINA HEIGHTS,DRUG,MEDIUM
30549,2010,CARINA HEIGHTS,GOOD_ORDER,MEDIUM
30550,2011,CARINDALE,GOOD_ORDER,HIGH
30551,2011,CARINA HEIGHTS,THEFT,HIGH
30552,2011,CARINA HEIGHTS,UNLAWFUL_ENTRY,HIGH
30553,2011,CARINA HEIGHTS,THEFT,HIGH
30554,2011,CARINA HEIGHTS,GOOD_ORDER,HIGH
